CentreSize,1
AMineralSize,0
BMineralSize,0
MapSize,20,30
AMineralValue,2
BMineralValue,1
Money,61
level1
Amineral,Amineral,Amineral,Amineral,Amineral,Amineral,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject
Amineral,Amineral,Amineral,Amineral,Amineral,Amineral,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject
Amineral,Amineral,Amineral,Amineral,Amineral,extractor:Amineral+right,transmissionBelt:Amineral+right,transmissionBelt:nullMineral+right,transmissionBelt:Amineral+right,transmissionBelt:nullMineral+down,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject
Amineral,Amineral,Amineral,Amineral,Amineral,Amineral,nullObject,nullObject,nullObject,transmissionBelt:Amineral+down,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject
nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,transmissionBelt:nullMineral+down,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject
nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,transmissionBelt:Amineral+down,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject
nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,transmissionBelt:nullMineral+down,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject
nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,transmissionBelt:Amineral+down,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject
nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,transmissionBelt:nullMineral+down,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject
nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,centre:nullMineral+up,centre:nullMineral+up,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject,nullObject
